current_price,original_price,listing_title,condition,brand_name,brand_num,model_name,model_num,condition_num,discount,is_discounted,country,country_num,length,log_current_price,log_original_price
361.54,361.54,Edwards ESP E-SG 2005 Cherry Red 2.5kg Seymour Duncan,Good,esp,9,sg,7,4,0.0,0.0,other,0.0,53,5.8903726855467085,5.8903726855467085
995.0,995.0,Paul Reed Smith S2 singlecut 2017 Whale blue,Mint,paul reed smith,14,other,0,1,0.0,0.0,other,0.0,44,6.902742737158593,6.902742737158593
5762.44,5762.44,2008 Fender Custom Shop Masterbuilt Jason Smith 1969 Stratocaster Relic Jade Pearl Metallic,Excellent,fender,2,strat,1,2,0.0,0.0,other,0.0,91,8.659116275103191,8.659116275103191
299.0,299.0,"Epiphone Les Paul Standard, with Hard Case - Used, Purple Burst",Very Good,epiphone,3,les paul,5,3,0.0,0.0,other,0.0,63,5.700443573390687,5.700443573390687
945.0,945.0,2009 Fender American Special Stratocaster – Aztec Gold over Sunburst Relic,Excellent,fender,2,strat,1,2,0.0,0.0,usa,2.0,74,6.851184927493743,6.851184927493743
1120.37,1120.37,Gibson Les Paul Classic Player Plus 2018 Satin Vintage Sunburst Relic Bigsby,Very Good,gibson,4,les paul,5,3,0.0,0.0,other,0.0,76,7.021414266876091,7.021414266876091
314.27,369.72,Epiphone Les Paul Traditional Pro Wine Red,Excellent,epiphone,3,les paul,5,2,55.450000000000045,1.0,other,0.0,42,5.750252489041052,5.912745962396577
415.0,415.0,Fender Standard Stratocaster Plus Top Left-Handed 2013 Free UK shipping!,Excellent,fender,2,strat,1,2,0.0,0.0,other,0.0,72,6.028278520230698,6.028278520230698
1341.94,1341.94,Fender Artist Series Jimmy Page Mirror Telecaster White Blonde 2019,Mint,fender,2,tele,2,1,0.0,0.0,other,0.0,67,7.201871607143161,7.201871607143161
1493.83,1493.83,Fender Stratocaster 1983 Sunburst,Excellent,fender,2,strat,1,2,0.0,0.0,other,0.0,33,7.309098570731079,7.309098570731079
349.0,349.0,Squier Classic Vibe FSR 2020 Metallic Purple,Mint,squier,1,other,0,1,0.0,0.0,other,0.0,44,5.855071922202427,5.855071922202427
690.9,690.9,Epiphone Limited Edition Peter Frampton signature,Excellent,epiphone,3,other,0,2,0.0,0.0,other,0.0,49,6.537995095494749,6.537995095494749
