Current price,Origninal price,Listing title,Condition
£361.54GBP,£361.54GBP,Edwards ESP E-SG 2005 Cherry Red 2.5kg Seymour Duncan,Good
£995GBP,£995GBP,Paul Reed Smith S2 singlecut 2017 Whale blue,Mint
"£5,762.44GBP","£5,762.44GBP",2008 Fender Custom Shop Masterbuilt Jason Smith 1969 Stratocaster Relic Jade Pearl Metallic,Excellent
£299GBP,£299GBP,"Epiphone Les Paul Standard, with Hard Case - Used, Purple Burst",Very Good
£945GBP,£945GBP,2009 Fender American Special Stratocaster – Aztec Gold over Sunburst Relic,Excellent
"£1,120.37GBP","£1,120.37GBP",Gibson Les Paul Classic Player Plus 2018 Satin Vintage Sunburst Relic Bigsby,Very Good
£314.27GBP,£369.72,Epiphone Les Paul Traditional Pro Wine Red,Excellent
£415GBP,£415GBP,Fender Standard Stratocaster Plus Top Left-Handed 2013 Free UK shipping!,Excellent
"£1,341.94GBP","£1,341.94GBP",Fender Artist Series Jimmy Page Mirror Telecaster White Blonde 2019,Mint
"£1,493.83GBP","£1,493.83GBP",Fender Stratocaster 1983 Sunburst,Excellent
£349GBP,£349GBP,Squier Classic Vibe FSR 2020 Metallic Purple,Mint
£690.90GBP,£690.90GBP,Epiphone Limited Edition Peter Frampton signature,Excellent
"£7,499.06GBP","£7,499.06GBP",2012 Fender Custom Shop Masterbuilt Greg Fessler 1957 Stratocaster Relic Sunburst with Abby Pickups,Excellent
£251.15GBP,£251.15GBP,Aria Pro II The CAT 1980's Matsumoku Japan,Good
"£2,306.11GBP","£2,306.11GBP",Gibson Les Paul Custom Lite 2013 Ebony,Very Good
"£9,077.81GBP","£9,077.81GBP",1996 Fender Custom Shop Masterbuilt John English 1957 Stratocaster Relic Aztec Gold. Super Rare!,Very Good
"£1,030.88GBP","£1,212.81","Schecter Hellraiser C-1 Passive Dragon Burst (USA Brimstone Pickups) 3,50 kg + NEW with invoice",Mint
£673.76GBP,£792.67,"Ibanez RGIM7MH WK Iron Label 7-String WK Weathered Black + 2,99 kg + NEW with invoice",Mint
"£2,007.34GBP","£2,007.34GBP",Fender Stratocaster Special Edition 1993,Very Good
£652.62GBP,£652.62GBP,"Ibanez Prestige RG2550E hecha en Japón en 2006 mejorada con Dimarzio DP102 y coil split ,perfecta !",Excellent
£300GBP,£300GBP,Tokai UALC55 Wine Red,Good
£280.93GBP,£330.51,Epiphone G-400 Pro SG Electric Guitar Ebony,Excellent
£753.13GBP,£886.03,"Ibanez RGIR38BFE-BKF 8-String Black Flat + 3,75 kg + NEW with invoice",Mint
"£1,727.24GBP","£1,727.24GBP",Gibson Les Paul Traditional 2017 Cherry Sunburst,Excellent
£361.54GBP,£361.54GBP,Edwards ESP E-SG 2005 Cherry Red 2.5kg Seymour Duncan,Good
"£2,091.84GBP","£2,091.84GBP",2013 Gibson Les Paul Slash Standard Rosso Corsa Nice Shape w/Case,Very Good
"£2,427.48GBP","£2,427.48GBP",Gibson Les Paul 2019 Blueberry Burst,Excellent
"£3,354.84GBP","£3,354.84GBP",1974 Fender Stratocaster Olympic White,Good
£518.98GBP,£518.98GBP,Vintage V58JD Jerry Donahue Signature Telecaster,Very Good
"£2,778.60GBP","£2,778.60GBP",Gibson Les Paul Custom 2002 Wine Red - DEEP CARVE - EBONY,Excellent
"£4,341.56GBP","£4,341.56GBP",Fender Stratocaster Neck 1962 Like SRV #1 Curved Rosewood Fingerboard August 62 Pre CBS,Excellent
£789.38GBP,£789.38GBP,Schecter C-1 FRS Apocalypse 2019 Red Reign,Mint
£816.66GBP,£816.66GBP,2013 Gibson Les Paul Studio,Very Good
£197.34GBP,£197.34GBP,BC Rich Warlock Red,Very Good
None,None,None,None
£315.75GBP,£315.75GBP,ESP LTD EC-258 2018 BLK,Mint
£374.25GBP,£374.25GBP,Fernandes TEJ-55B 1990's Black L Serial Made in Japan Hardcase,Very Good
£390.74GBP,£390.74GBP,Vintage 1984 Squier by Fender Stratocaster Electric Guitar Japan MIJ Black Bolt Clean,Excellent
£665.42GBP,£665.42GBP,Fender Pawn Shop '70s Stratocaster Deluxe,Very Good
£393.90GBP,£393.90GBP,Epiphone Les Paul Standard Plain Top 2007 Honey burst,Good
"£1,326.29GBP","£1,326.29GBP",Gibson Les Paul Classic 2015 Heritage Cherry Sunburst,Very Good
"£1,293.93GBP","£1,293.93GBP",Guild S-100 Lefty 1970[IKE011],Good
"£1,512.33GBP","£1,512.33GBP",Fender Jag-Stang MIJ 2002 - 2004 Sonic Blue,Very Good
"£4,735.46GBP","£4,735.46GBP",B.C. Rich Bich Black 1981,Excellent
"£2,723.34GBP","£2,723.34GBP",Fender Custom Shop '56 Relic Stratocaster 2013 Black w/ Anodized Guard,Excellent
"£1,183.27GBP","£1,183.27GBP",2020 MINT! Gibson SG '61 Standard Vintage Cherry Finish - Unplayed! Original Hardshell Case - SAVE!,Mint
£338.64GBP,£338.64GBP,Ibanez SZ520 2002 Sunburst Made In Korea,Good
"£1,995GBP","£1,995GBP","GPC Matt Skiba Signature 2002, 78/100!!! Alkaline Trio/Blink 182",Good
"£1,776.09GBP","£1,776.09GBP",Kramer DMZ 6000-G 1981 Natural,Excellent
"£1,443.77GBP","£1,443.77GBP",2005 Fender '52 American Vintage Telecaster in Butterscotch Blonde,Excellent
£472.84GBP,£472.84GBP,2010 PRS Soapbar SE in Vintage Cherry,Excellent
"£1,049.08GBP","£1,049.08GBP",2020 Fender Troy Van Leeuwen Jazzmaster in Oxblood,Excellent
£630.71GBP,£630.71GBP,FENDER MIK LITE ASH STRATOCASTER Ltd Ed Korea Strat Birdseye Neck Nice! 29583,Very Good
"£2,469.95GBP","£2,469.95GBP",2015 Dean USA '77 V in Cherry Sunburst,Excellent
£434.16GBP,£434.16GBP,Epiphone Les Paul Traditional Pro Electric Guitar Very Clean Wine Red Solid Rocker,Excellent
£592.03GBP,£592.03GBP,Reverend Jetstream 390 with Roasted Maple Neck Oceanside Green,Very Good
"£1,578.75GBP","£1,578.75GBP",Gibson Firebird V 2010 - 2013,Mint
"£1,549GBP","£1,549GBP","Gibson 2019 Les Paul Classic Electric Guitar in Gold Top, Pre-Owned",Excellent
£472.84GBP,£472.84GBP,FENDER Deluxe Ash FSR TELECASTER BUTTERSCOTCH BLONDE Special Edition Tele 54003,Excellent
"£1,735.84GBP","£1,735.84GBP",Suhr Classic T Pro 2010s 3-Tone Sunburst,Excellent
"£1,727.24GBP","£1,727.24GBP",Ormsby Hype 7 GTR Run 5 2019 Dragonburst,Mint
"£1,058.63GBP","£1,058.63GBP",Paul Reed Smith S2 Vela 2017 Antique White - Upgraded with Creamery Pickups!,Very Good
£710.44GBP,£710.44GBP,Epiphone Prophecy Les Paul Custom GX Plus 2010s Heritage Cherry Sunburst,Excellent
"£1,577.96GBP","£1,577.96GBP",Fender Limited Edition Parallel Universe Series Strat Tele Hybrid 2-Color Sunburst 2018,Excellent
"£3,669.80GBP","£3,669.80GBP",1979 Dean Z in Cherryburst,Excellent
"£1,183.27GBP","£1,183.27GBP",Fender American Deluxe Telecaster with Rosewood Fretboard 2011 - 2016 3-Color Sunburst,Excellent
£828.05GBP,£828.05GBP,2019 Fender TN-72 Thinline Telecaster Electric Guitar Reissue MIJ Natural Finish Semi-Hollow Japan,Mint
"£1,381.41GBP","£1,381.41GBP",Gibson SG Jr Melody Maker 1967 Blue,Very Good
"£1,663.56GBP","£1,663.56GBP",Fender American Deluxe Telecaster with Maple Fretboard 2008 Aged Cherry Burst and OHSC - MINT!!!,Mint
"£4,578.38GBP","£4,578.38GBP","2020 Paul Reed Smith McCarty 594 ""Wood Library"" (absolutely stunning!)",Mint
£544.44GBP,£544.44GBP,Fender HMT. Telecaster 1989 sunburst,Good
£967.89GBP,£967.89GBP,Reverend Descent RA Baritone 2018 Korina Burst - MINT!!!,Mint
"£1,657.69GBP","£1,657.69GBP",Fender 65 Reissue Jaguar 2013 Sonic Blue,Excellent
"£1,420.09GBP","£1,420.09GBP",Paul Reed Smith Silver Sky John Mayer Signature Tungsten,Very Good
"£2,762.81GBP","£2,762.81GBP",Aristides 060S Pink Burst Marble,Excellent
"£2,762.81GBP","£2,762.81GBP",Strandberg Boden J6 Custom,Excellent
"£2,210.25GBP","£2,210.25GBP",Ibanez J-Custom RGA-8420,Mint
"£22,891.88GBP","£22,891.88GBP",1958 Fender Stratocaster,Very Good
"£1,184.06GBP","£1,184.06GBP",Strandberg Boden Classic 7,Excellent
"£1,026.19GBP","£1,026.19GBP",Fender American Professional Olympic White,Excellent
"£2,368.13GBP","£2,368.13GBP",Mayones Legend Custom,Excellent
"£4,341.56GBP","£4,341.56GBP",Ibanez Jem 777sk 1987 Shocking pink,Very Good
£710.43GBP,£710.43GBP,USED Gibson SG Special Faded (504),Very Good
£749.90GBP,£749.90GBP,USED Fender Vintera 60s Jazzmaster (558),Very Good
£709.65GBP,£709.65GBP,Used Fender Highway One Stratocaster HSS Crimson 2006,Very Good
"£2,550GBP","£2,550GBP",Fender Custom Shop NOS Stratocaster,Mint
"£2,368.13GBP","£2,368.13GBP",ESP Custom Shop Strat,Excellent
"£3,552.19GBP","£3,552.19GBP",Paul Reed Smith 509 2020 Experience,Excellent
£851.74GBP,£851.74GBP,2020 Harmony Juno Pearl,Excellent
"£6,705.74GBP","£6,705.74GBP",1968 Fender Telecaster Blonde w/Tag and Case,Very Good
"£2,762.81GBP","£2,762.81GBP",Aristides 060 Rose Gold Chameleon,Mint
£574.68GBP,£574.68GBP,Charvel Model 3a 1987 Japan,Very Good
"£1,815.56GBP","£1,815.56GBP",Ibanez Prestige RGD-4327,Excellent
"£2,368.13GBP","£2,368.13GBP",Mayones Regius Custom,Excellent
"£1,263GBP","£1,263GBP",Ibanez RGD3127 Prestige,Mint
"£2,762.81GBP","£2,762.81GBP",Aristides 060S Purple Arctic Crystal,Mint
£118.01GBP,£118.01GBP,Gibson Baldwin Epoch Les Paul Good Player and Perfect for Stage or Starter,Very Good
"£2,368.13GBP","£2,368.13GBP",PRS 24 20th Anniversary 10-Top 2005,Excellent
£303.91GBP,£303.91GBP,Dean Cadillac Gloss black,Very Good
"£2,131.31GBP","£2,131.31GBP",Charvel Guthrie Govan Signature 2019,Mint
"£3,552.19GBP","£3,552.19GBP",Fender Telecaster Baritone Masterbuilt Custom Shop by Yuriy Shishkov — international buyers welcome!,Very Good
£197.34GBP,£197.34GBP,Danelectro U2 Reissue Guitar Korea Clean Condition Black Silvertone,Very Good
"£1,203.80GBP","£1,203.80GBP",Gibson Les Paul Studio 2006 Ebony FRET BOARD !!!,Excellent
£670.97GBP,£670.97GBP,"LTD EC-401QM, See-Thru Black w/ Devin Townsend Fishman Pickups",Excellent
£749.91GBP,£749.91GBP,ESP LTD MH-1000 Evertune with EMG 81/85 Pickups See Thru Black,Mint
"£1,732.68GBP","£1,732.68GBP",Rad! 2009 Gibson Les Paul Traditional Black Ebony + OHSC,Excellent
"£2,749.20GBP","£2,749.20GBP",Gibson Flying V 50th Anniversary 2008 Brimstone Burst,Very Good
"£1,578.75GBP","£1,578.75GBP",Fender The Strat 1982 Candy apple red,Good
"£2,207.88GBP","£2,207.88GBP",1971 Vintage Gibson SG DELUXE Standard ~Cherry Red~ Original 1970's Case,Excellent
"£2,368.13GBP","£2,368.13GBP",Parker Fly Deluxe Hardtail,Excellent
"£2,758.87GBP","£2,758.87GBP",RARE & Vintage! 1979 Fender Stratocaster Antigua Burst ALL Original! + OHSC,Very Good
£425GBP,£425GBP,Epiphone Les Paul Custom 2006 Vintage Sunburst,Very Good
£447.65GBP,£447.65GBP,Danelectro 56 Baritone Guitar Black,Very Good
"£1,790GBP","£1,790GBP",Don Grosh Retro Classic HSS in Red Relic. Low Serial 260.,Very Good
"£1,969.49GBP","£1,969.49GBP",MINTY! 2013 Gibson Limited Edition Les Paul Custom Recording Reissue Natural Mahogany + OHSC,Excellent
"£2,427.48GBP","£2,427.48GBP",Fender Stratocaster Yngwie Malmsteen US Signature Stratocaster,Mint
"£1,972.65GBP","£1,972.65GBP",Used Gibson Les Paul Standard Slash - November Burst,Mint
£592.03GBP,£592.03GBP,Line 6 JTV-69 James Tyler Variax Modeling Electric Guitar Candy Apple Red,Excellent
"£2,138.05GBP","£2,138.05GBP",Ibanez az 2402ff 2019 Royal brown AAAA maple top,Mint
"£1,650GBP","£1,650GBP",Gibson Les Paul Standard '50s 2019 - 2020 Gold Top,Excellent
£514.19GBP,£514.19GBP,Yamaha RGX A2 White/Gray,Very Good
£840.28GBP,£840.28GBP,B.C. Rich Warlock 1995 Metal Plate Diamond,Excellent
"£4,653.37GBP","£4,653.37GBP",Fender Stratocaster 1973 Blonde One Owner Robin Trower Walter Trout Lowell George Staggered Poles,Very Good
£270GBP,£270GBP,Jackson JS32 Gus G 2011 White,Excellent
"£3,034.35GBP","£3,034.35GBP",Fender Custom Shop '57 Reissue Stratocaster Journeyman Relic,Excellent
"£1,973.44GBP","£1,973.44GBP",2012 PRS Paul Reed Smith Custom 22,Excellent
£843.88GBP,£843.88GBP,Fender American Special 60th Stratocaster Candy Apple Red,Mint
£217.08GBP,£217.08GBP,Epiphone Les Paul II Black,Excellent
£846.30GBP,£846.30GBP,Fender Stratocaster USA 1998 Lime Green,Very Good
£276.28GBP,£276.28GBP,2016 Ibanez RG470MB Electric Guitar - Autumn Fade Metallic Finish + Road Runner Gig Bag,Excellent
£240GBP,£240GBP,Ibanez ARZ200FM-CRS ARZ Standard Series Electric Guitar Cherry Sunburst,Very Good
£864.37GBP,£864.37GBP,Guild S-284 Aviator 1985 Seafoam Green,Excellent
